GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator,176,895,33,88,43,229,36,54,3,23
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,SegmentResult,27,85,0,0,9,31,2,14,2,14
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},11,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},10,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new VoteAggregator() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new Object() {...},9,59,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},10,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.SegmentHandler,0,29,0,0,0,12,0,5,0,5
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new CacheLoader() {...},0,10,0,0,0,3,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluator.new Object() {...},17,115,0,0,0,3,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelEvaluationContext,12,74,2,4,5,21,2,11,1,9
PMML class model evaluator code coverage,org.jpmml.evaluator.mining,MiningModelUtil,155,104,25,11,41,25,23,7,2,2
PMML class model evaluator code coverage,org.jpmml.evaluator.scorecard,ScorecardEvaluator.new Object() {...},5,43,0,0,0,3,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.scorecard,ScorecardEvaluator.new VoteAggregator() {...},0,12,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.scorecard,ScorecardEvaluator,87,256,21,32,19,76,23,10,2,4
PMML class model evaluator code coverage,org.jpmml.evaluator.scorecard,ReasonCodeRanking,14,38,0,0,4,14,1,6,1,6
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.new Object() {...},10,77,0,0,0,4,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.new CacheLoader() {...},0,52,0,4,0,12,0,5,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,NodeScoreDistribution,22,88,5,11,6,25,5,11,1,7
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator,99,507,25,60,20,131,24,37,1,15
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,TreeModelEvaluator.Trail,4,63,1,1,1,25,1,12,0,12
PMML class model evaluator code coverage,org.jpmml.evaluator.tree,NodeScore,27,36,0,0,8,15,4,5,4,5
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RegressionModelUtil,75,161,20,18,23,43,20,12,1,5
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RegressionModelUtil.new Object() {...},9,59,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RegressionModelEvaluator.new Object() {...},16,113,0,0,0,4,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RegressionModelEvaluator,199,408,41,65,46,101,38,26,2,6
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RichCategoricalPredictor,28,0,2,0,9,0,4,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.regression,RichObjectFactory,7,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,SupportVectorMachineModelEvaluator,205,531,46,61,43,149,43,24,2,10
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,KernelUtil,48,105,6,10,10,18,8,8,3,5
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,SupportVectorMachineModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.support_vector_machine,SupportVectorMachineModelEvaluator.new Object() {...},6,53,0,0,0,4,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,FeatureInspector,1,33,1,1,1,10,1,5,0,5
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,InvalidFeatureInspector.CollectionSize,4,28,2,2,1,8,2,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator.visitors,RegressionModelOptimizer,28,0,4,0,6,0,4,0,2,0
