GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.SegmentHandler,0,29,0,0,0,12,0,5,0,5
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator,251,820,38,83,63,209,39,51,4,22
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new CacheLoader() {...},0,10,0,0,0,3,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluator.new Object() {...},17,115,0,0,0,3,0,1,0,1
JPMML evaluator,org.jpmml.evaluator.mining,SegmentResult,37,75,0,0,12,28,4,12,4,12
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},11,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},10,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new VoteAggregator() {...},0,9,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelEvaluationContext,21,65,3,3,8,18,4,9,2,8
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new Object() {...},9,59,0,0,0,1,0,1,0,1
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil.new ProbabilityAggregator() {...},10,0,0,0,2,0,2,0,2,0
JPMML evaluator,org.jpmml.evaluator.mining,MiningModelUtil,226,33,33,3,58,8,28,2,3,1
JPMML evaluator,org.jpmml.evaluator.scorecard,ScorecardEvaluator.new Object() {...},5,43,0,0,0,3,0,1,0,1
JPMML evaluator,org.jpmml.evaluator.scorecard,ScorecardEvaluator.new VoteAggregator() {...},0,12,0,0,0,2,0,2,0,2
JPMML evaluator,org.jpmml.evaluator.scorecard,ReasonCodeRanking,14,38,0,0,4,14,1,6,1,6
JPMML evaluator,org.jpmml.evaluator.scorecard,ScorecardEvaluator,87,256,21,32,19,76,23,10,2,4
JPMML evaluator,org.jpmml.evaluator.tree,TreeModelEvaluator.new Object() {...},10,77,0,0,0,4,0,1,0,1
