GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JPMML-SkLearn,sklearn.ensemble.forest,RandomForestRegressor,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.forest,BaseForestUtil,3,19,0,0,2,4,1,1,1,1
JPMML-SkLearn,sklearn.ensemble.forest,ExtraTreesClassifier,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.forest,ExtraTreesRegressor,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.forest,RandomForestClassifier,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.ensemble.forest,BaseForestRegressor,2,19,0,0,1,5,1,3,1,3
JPMML-SkLearn,sklearn.ensemble.forest,BaseForestClassifier,2,27,0,0,1,7,1,3,1,3
JPMML-SkLearn,sklearn2pmml,SelectorProxy,0,21,0,0,0,6,0,4,0,4
JPMML-SkLearn,sklearn2pmml,PMMLPipeline,110,287,13,18,20,71,10,22,0,16
JPMML-SkLearn,sklearn2pmml,PMMLPipeline.new Object() {...},2,17,0,0,0,1,0,1,0,1
JPMML-SkLearn,sklearn2pmml,PMMLPipeline.new Function() {...},5,14,2,2,1,4,2,2,0,2
JPMML-SkLearn,sklearn2pmml,EstimatorProxy,63,13,1,1,19,4,10,2,9,2
JPMML-SkLearn,joblib,NumpyArrayWrapper,5,95,4,6,1,16,4,8,0,6
JPMML-SkLearn,joblib,NDArrayWrapperConstructor,14,16,0,0,3,6,2,2,2,2
JPMML-SkLearn,joblib,NDArrayWrapper,90,0,10,0,16,0,12,0,7,0
JPMML-SkLearn,joblib,NDArrayWrapperConstructor.new NDArrayWrapper() {...},17,0,0,0,3,0,2,0,2,0
JPMML-SkLearn,sklearn.ensemble,EnsembleRegressor,19,13,0,0,6,4,3,2,3,2
JPMML-SkLearn,sklearn.ensemble,EnsembleClassifier,19,13,0,0,6,4,3,2,3,2
JPMML-SkLearn,lightgbm.sklearn,LGBMClassifier,0,21,0,0,0,6,0,5,0,5
JPMML-SkLearn,lightgbm.sklearn,LGBMRegressor,0,17,0,0,0,5,0,4,0,4
JPMML-SkLearn,lightgbm.sklearn,Booster,36,48,6,4,1,12,4,5,0,4
JPMML-SkLearn,lightgbm.sklearn,BoosterUtil,3,28,0,0,2,9,1,3,1,3
JPMML-SkLearn,sklearn,EstimatorUtil,36,37,1,1,6,10,5,6,4,6
JPMML-SkLearn,sklearn,Classifier,0,15,0,0,0,6,0,5,0,5
JPMML-SkLearn,sklearn,Selector,4,56,0,6,1,13,1,6,1,3
JPMML-SkLearn,sklearn,Clusterer,2,7,0,0,1,3,1,2,1,2
JPMML-SkLearn,sklearn,TypeUtil,3,74,0,4,2,18,1,4,1,2
JPMML-SkLearn,sklearn,Initializer,4,21,0,0,1,5,1,3,1,3
JPMML-SkLearn,sklearn,TransformerUtil.new Function() {...},21,8,1,1,3,3,1,2,0,2
JPMML-SkLearn,sklearn,TransformerUtil.new Function() {...},25,3,2,0,5,1,2,1,1,1
JPMML-SkLearn,sklearn,TransformerUtil,26,37,2,4,9,12,6,4,4,3
JPMML-SkLearn,sklearn,BaseEstimator,0,15,0,2,0,6,0,3,0,2
JPMML-SkLearn,sklearn,Regressor,0,9,0,0,0,4,0,3,0,3
JPMML-SkLearn,sklearn,Transformer,5,52,2,2,1,15,2,7,0,7
JPMML-SkLearn,sklearn,EstimatorUtil.new Function() {...},21,8,1,1,3,3,1,2,0,2
JPMML-SkLearn,sklearn,EstimatorUtil.new Function() {...},21,8,1,1,3,3,1,2,0,2
JPMML-SkLearn,sklearn,EstimatorUtil.new Function() {...},21,8,1,1,3,3,1,2,0,2
JPMML-SkLearn,sklearn,TypeUtil.new Function() {...},0,6,0,0,0,2,0,2,0,2
JPMML-SkLearn,sklearn,Estimator,4,36,0,4,2,10,2,5,2,3
JPMML-SkLearn,sklearn.svm,BaseLibSVMRegressor,0,110,0,0,0,23,0,12,0,12
JPMML-SkLearn,sklearn.svm,BaseLibSVMClassifier,13,143,0,2,2,31,2,14,2,13
JPMML-SkLearn,sklearn.svm,SVR,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,NuSVC,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,OneClassSVM,0,30,0,0,0,7,0,3,0,3
JPMML-SkLearn,sklearn.svm,NuSVR,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,OneClassSVM.new OutlierTransformation() {...},0,21,0,0,0,2,0,2,0,2
JPMML-SkLearn,sklearn.svm,SVC,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,LinearSVR,0,5,0,0,0,2,0,1,0,1
JPMML-SkLearn,sklearn.svm,SupportVectorMachineUtil.new Function() {...},0,6,0,0,0,2,0,2,0,2
JPMML-SkLearn,sklearn.svm,SupportVectorMachineUtil,51,30,15,3,11,5,13,2,1,2
JPMML-SkLearn,sklearn2pmml.preprocessing,PMMLLabelBinarizer,4,17,1,1,1,6,1,4,0,4
JPMML-SkLearn,sklearn2pmml.preprocessing,PMMLLabelEncoder,5,0,0,0,2,0,1,0,1,0
